"product_name","price","list_price","delivery_type"
"Apple iPhone 12 Pro Max (512GB)",16900.0,18999.0,"Standard"
"Apple iPhone 13 (256GB)",13900.0,17299.0,"Standard"
"Apple iPhone 13 Pro (256GB)",15900.0,19999.0,"Standard"
"Apple iPhone 13 Pro Max (256GB)",16900.0,21999.0,"Standard"
"Apple iPhone 13 Pro Max (512GB)",18900.0,25999.0,"Standard"
"Apple iPhone 14 (128GB)",12900.0,16999.0,"Standard"
"Apple iPhone 14 Plus (128GB)",16900.0,17999.0,"Standard"
"Apple iPhone 14 Plus (256GB)",17900.0,22999.0,"Standard"
"Apple iPhone 14 Pro (256GB)",20900.0,27999.0,"Standard"
"Apple iPhone 14 Pro Max (128GB)",20900.0,26999.0,"Standard"
"Apple iPhone 14 Pro Max (256GB)",21900.0,29999.0,"Standard"
"Apple MacBook Air (13-inch, Apple M1 chip, 8GB, 256GB)",11900.0,17999.0,"Standard"
"Apple MacBook Air (13-inch, Apple M1 chip, 8GB, 256GB)",12900.0,17999.0,"Standard"
"Apple MacBook Pro (13-inch, Apple M1 chip, 8GB, 256GB)",16900.0,21999.0,"Standard"
"Apple MacBook Pro (14-inch, Apple M1 chip, 16GB, 1TB)",30900.0,38999.0,"Standard"
"Apple MacBook Pro (14-inch, Apple M1 chip, 16GB, 512GB)",28900.0,35999.0,"Standard"
"Apple MacBook Pro (14-inch, Apple M3 chip, 8GB, 512GB)",31900.0,37499.0,"Standard"
"Apple MacBook Pro (16-inch, Apple M1 chip, 16GB, 512GB)",33900.0,38999.0,"Standard"
"Apple Watch Series 7 (GPS + Cellular 45mm)",6900.0,8999.0,"Standard"
"Apple Watch Series 8 (GPS + Cellular 45mm)",7400.0,12499.0,"Standard"
"Apple Watch Ultra 2 (GPS + Cellular 49mm)",16900.0,19899.0,"Standard"
